rs	[RS, SR]
8eopt	[POET8, PT8OE]
8eoot	[OETO8, TO8OE]
eekoo	[EOEOK, OEEOK]
aoprt	[OPTAR, TOPAR]
demoo	[EODOM, OEDOM]
ceoot	[OETCO, OTCOE]
ceoos	[OSCOE, SCOEO]
28cot	[8TCO2, TCO82]
2dgot	[2ODTG, TOD2G]
2dgoo	[GODO2, ODO2G]
goptz	[PZOTG, TOPZG]
aghrz	[GHZAR, RAHZG]
goprt	[GPTOR, TGPOR]
acdrt	[TCDAR, TDCAR]
aghmt	[GHTAM, GTHAM]
aghmo	[GOHAM, OHAMG]
aefmo	[FOEAM, OEFAM]
acdor	[OCDAR, ODCAR]
8dgoz	[8ODZG, DZO8G]
28ccs	[8SCC2, SC2C8]
8dgos	[DSO8G, ODS8G]
gghtt	[GHTTG, TGHTG]
aghik	[GHAIK, HAIKG]
acdmt	[TCDAM, TDCAM]
cdgsz	[SCDZG, SDZCG]
acdmo	[OCDAM, ODCAM]
acdko	[DOCAK, ODCAK]
gghos	[OHGSG, SOGHG]
cdgoo	[ODCOG, ODOCG]
88cgt	[8TC8G, T8C8G]
ahoor	[OHARO, OHORA]
8dggz	[8GDZG, DZG8G]
8dggs	[8GDSG, GDS8G]
8dggo	[GDO8G, ODG8G]
acdez	[CDZAE, DZCAE]
cgptt	[TCPTG, TPTCG]
adkot	[ODTAK, TODAK]
ghott	[TOHTG, TTOHG]
cgprt	[GPTCR, RPTCG]
cdggs	[GDCSG, SCGDG]
aoorr	[ARORO, ORARO]
ghoor	[OGHOR, OHORG]
acprt	[PTCAR, TCPAR]
aiior	[AIIOR, OAIIR]
2gott	[2TOTG, TO2TG]
aeeot	[OETAE, TOEAE]
aeeor	[EAROE, EORAE]
aeemo	[EOEAM, OEEAM]
4aeno	[4AEON, 4OEAN]
4aemo	[4AEOM, 4OEAM]
ahnor	[HORAN, ROHAN]
8gops	[OPS8G, PSO8G]
8goor	[O8ORG, ORO8G]
acort	[TCOAR, TCORA]
acors	[SCAOR, SCOAR]
2deoo	[2ODOE, ODOE2]
8fgot	[FTO8G, OFT8G]
8fgos	[FSO8G, OFS8G]
88aor	[8ARO8, 8O8AR]
cfgtz	[TCFZG, TFZCG]
4ador	[4ODAR, 4ODRA]
ahmot	[OHTAM, TOHAM]
ahmos	[OHSAM, SOHAM]
88agn	[8AN8G, 8G8AN]
88aet	[8AET8, 8T8AE]
88aem	[8AM8E, 8AME8]
adior	[DOAIR, ODAIR]
cfggt	[FGTCG, GFTCG]
eehoo	[HOEOE, OHEOE]
efoot	[OFTOE, TOFOE]
acnot	[OTCAN, TCOAN]
foort	[FOTOR, OFTOR]
2agir	[2AIRG, G2AIR]
8agpt	[APT8G, TPA8G]
8agor	[ARO8G, OG8AR]
aeopz	[OPZAE, PZOAE]
aeopr	[POEAR, PORAE]
8aghr	[8GHAR, GH8AR]
8aghn	[8ANHG, 8GHAN]
8aghm	[8GHAM, HG8AM]
4cdos	[4ODCS, 4ODSC]
4cdor	[4CDOR, 4ODCR]
2chos	[HSCO2, OHSC2]
ahkot	[OHTAK, TOHAK]
4cdgo	[4OCDG, 4ODCG]
adgrt	[DARTG, GDTAR]
eghos	[HOESG, OESHG]
78aeo	[8OEA7, OE8A7]
8chot	[OHCT8, OHTC8]
adgir	[DAIRG, GDAIR]
adghz	[DAHZG, HADZG]
cchot	[TCOCH, TOHCC]
cchor	[CHCOR, HCCOR]
ehooz	[HZOEO, OHZOE]
ehoor	[EOHOR, HOEOR]
aprtz	[PZTAR, TPZAR]
4anor	[4OANR, 4ORAN]
cdors	[SCDOR, SDCOR]
eoost	[SOTOE, TOESO]
eoorr	[EOROR, ROROE]
cdoor	[OCDOR, ODCOR]
eoopt	[OPTOE, TOPOE]
eoops	[OPSOE, SOPOE]
eoopr	[POEOR, POROE]
2cgot	[2OTCG, GTCO2]
4ccgo	[4CCOG, 4OCCG]
8cgst	[8STCG, SC8TG]
4ccdg	[4CDCG, 4DCCG]
8cgrt	[RTC8G, TC8GR]
degsz	[ESDZG, SDZGE]
8cgrs	[8SRCG, RSC8G]
8aers	[AES8R, ES8AR]
2aegh	[GHAE2, HAE2G]
ccgtt	[TCTCG, TTCCG]
8aept	[PAET8, PT8AE]
degos	[GDSOE, SGDOE]
degop	[DOEPG, POEDG]
degoo	[ODOEG, OEODG]
8aeot	[OETA8, TO8AE]
8aeos	[S8AEO, SO8AE]
agorr	[ARORG, ORARG]
8aeno	[8ANOE, OE8AN]
8aemt	[ET8AM, TE8AM]
ccgpz	[CPZCG, PZCCG]
8aeko	[8AEOK, OE8AK]
8cghz	[HZ8CG, HZC8G]
8cgho	[HCO8G, OHC8G]
aemot	[OETAM, TOEAM]
8cggh	[8GHCG, GHC8G]
aemor	[EORAM, OERAM]
aemoo	[OEAMO, OEOAM]
aairr	[AIRAR, ARAIR]
8aego	[AEO8G, O8AEG]
8aegh	[8GHAE, HAE8G]
8aeet	[8AETE, ET8AE]
8aeer	[EE8AR, RAE8E]
ccgho	[GHCCO, OHCCG]
2ehot	[HTOE2, THOE2]
2ador	[2ODAR, DO2AR]
ahior	[OHAIR, OHAIR]
adeot	[ODTAE, TODAE]
adeor	[EODAR, OEDAR]
adeoo	[ODAEO, OEDAO]
8ehos	[8HSOE, HS8OE]
dghot	[DOHTG, HTODG]
ademo	[EODAM, OEDAM]
adegm	[EDAMG, GEDAM]
oorrt	[ORTOR, TOROR]
aahrz	[AHZAR, HZAAR]
8adgz	[8ADZG, ADZ8G]
8adgn	[8GDAN, DG8AN]
ccfgt	[FTCCG, TCCFG]
doosz	[DZOSO, SODZO]
doorz	[DZOOR, ODZOR]
2egot	[2OETG, OET2G]
2ceos	[2SCOE, SCOE2]
2acor	[ARC2O, O2CAR]
dggtz	[GTDZG, TGDZG]
2acmt	[2TCAM, TC2AM]
8acrt	[TC8AR, TCA8R]
2aces	[AESC2, SCAE2]
48dgo	[4OD8G, 4ODG8]
8acnt	[8TCAN, TC8AN]
cegos	[GSCOE, OESCG]
addgg	[GDADG, GDGDA]
cceos	[OESCC, SCCOE]
8eggo	[EOG8G, G8OEG]
agmor	[GORAM, ORAMG]
hkoot	[OHTOK, TOHOK]
8achm	[HC8AM, HCAM8]
8acgt	[A8TCG, TCA8G]
8acet	[AETC8, TC8AE]
8aces	[8SCAE, SC8AE]
cceho	[CHCOE, HCCOE]
2aort	[OTA2R, TO2AR]
2aorr	[2AROR, 2ORAR]
8acdg	[ADC8G, GDC8A]
ccegt	[ETCCG, TCCGE]
ccegs	[ESCCG, SCCGE]
ccego	[EOCCG, OECCG]
8accr	[8CCAR, CC8AR]
dgstz	[SDZTG, TDZSG]
8ghtz	[8THZG, THZ8G]
eeoos	[OOESE, SOEOE]
8aort	[8ARTO, TO8AR]
8ghoz	[HZO8G, OHZ8G]
cghtt	[TCHTG, THTCG]
2hooz	[2OOHZ, OHZO2]
4dgoo	[4ODOG, O4ODG]
2hoot	[HOT2O, OHTO2]
cghsz	[SCHZG, SHZCG]
cghor	[GHCOR, OHCRG]
cghoo	[OHCOG, OHOCG]
cefot	[FTCOE, OETCF]
ccdor	[DCCOR, ODCCR]
achrt	[HTCAR, TCHAR]
8cdgg	[8GDCG, GDC8G]
chort	[HTCOR, THCOR]
ooprt	[OPTOR, POTOR]
achor	[HCOAR, OHCAR]
chopt	[HTOCP, PTCOH]
achnt	[HTCAN, TCHAN]
choot	[HOTCO, OHTCO]
achmt	[HTCAM, TCHAM]
ccdgr	[GDCCR, RDCCG]
88ggt	[8G8TG, 8TG8G]
2ccrt	[2TCCR, RTCC2]
adorr	[DORAR, ORDAR]
2eeoo	[2OEOE, OEOE2]
2iiir	[2IIIR, IIIR2]
coort	[OTCOR, TCOOR]
8ggpt	[8GPTG, GPT8G]
8ggot	[GTO8G, OG8TG]
8eeot	[8OETE, ET8OE]
2ccgs	[2SCCG, GSCC2]
2ccgo	[GCCO2, GOCC2]
2ccgh	[GHCC2, HCCG2]
cggrs	[GRSCG, RGSCG]
8ccot	[8TCCO, TCCO8]
8ccor	[8CCOR, ORCC8]
2cceo	[CC2OE, EOCC2]
2ccco	[2OCCC, OCCC2]
8gght	[8GHTG, GHT8G]
8ggho	[GHO8G, OHG8G]
8aanr	[8ARAN, AN8AR]
8eego	[EOE8G, OEE8G]
acgrt	[GTCAR, TCARG]
acgrs	[ARSCG, GSCAR]
aeior	[AIROE, OEAIR]
aaerr	[EARAR, RARAE]
8ccdo	[DCCO8, ODCC8]
8ccco	[8CCCO, OCCC8]
8aaen	[8AEAN, AN8AE]
8cccg	[8CCCG, CCC8G]
8aaem	[8AEAM, AE8AM]
8aaek	[8AEAK, AE8AK]
8aaee	[8AEAE, AE8AE]
8aadr	[8ADAR, DA8AR]
ccceg	[CCCGE, ECCCG]
acght	[AHTCG, GHTCA]
acghk	[GHACK, GHCAK]
aaeil	[AEAIL, AILAE]
aaehr	[AEHAR, HARAE]
egops	[OEPSG, POESG]
egoor	[GOEOR, OROEG]
8cort	[8TCOR, TC8OR]
adnot	[ODTAN, TODAN]
8amot	[O8TAM, TO8AM]
8amop	[OP8AM, PO8AM]
4deot	[4DTOE, 4ODTE]
28eot	[2OET8, 2TOE8]
4dego	[4ODGE, 4OEDG]
48aeo	[4O8AE, OE8A4]
28ego	[2OE8G, EO28G]
aehot	[OHTAE, TOHAE]
aehos	[OHSAE, SOHAE]
aadrr	[DARAR, RADAR]
efgot	[FTOEG, TOEFG]
aehmo	[OEHAM, OHEAM]
aehko	[AHOEK, OEHAK]
aadkr	[DAKAR, DARAK]
admot	[ODTAM, TODAM]
admor	[DORAM, ODRAM]
admoo	[DOAOM, ODOAM]
aader	[AEDAR, DARAE]
amort	[ORTAM, TORAM]
amopt	[OPTAM, POTAM]
amopr	[PAROM, PORAM]
hoorz	[HZOOR, OHZOR]
8acert	[ETC8AR, RTCAE8]
aadeor	[ODAEAR, ODARAE]
2ccdeo	[EDCCO2, OEDCC2]
8aegot	[TO8AEG, TO8GAE]
adghor	[HODARG, ODGHAR]
8aegmo	[O8AMEG, OEG8AM]
8aceot	[OTC8AE, TCO8AE]
aaiprr	[PAIRAR, PARAIR]
8agiir	[8AIIRG, 8AIRIG]
2coort	[O2TCOR, ORTCO2]
ccegot	[GTCCOE, OETCCG]
ccegos	[OESCCG, SCCOEG]
8aceho	[HCO8AE, OHC8AE]
8dgotz	[TDZO8G, TODZ8G]
8dgott	[8TODTG, TDTO8G]
aiilor	[AROIIL, ORAIIL]
8aceet	[ETC8AE, TC8EAE]
8dgoot	[ODTO8G, TODO8G]
28ccot	[8TCCO2, O8TCC2]
2cggpt	[2GPTCG, GPTC2G]
8aoprt	[OPT8AR, PTO8AR]
eooprt	[POETOR, PTOEOR]
cccego	[CCCOEG, OECCCG]
acdmoo	[CDOOAM, ODCOAM]
8ceoos	[OESCO8, SCO8OE]
adoorr	[ODAROR, ODORAR]
28aaee	[2AE8AE, 8AE2AE]
2aaeor	[2ORAEA, OEARA2]
ceeoos	[OESCOE, SCOEOE]
8aghmo	[GHO8AM, OHG8AM]
2ccceo	[EOCCC2, OECCC2]
2cccdo	[DCCCO2, ODCCC2]
ccghtz	[TCCHZG, TCHZCG]
ccghsz	[SCCHZG, SCHZCG]
8acdor	[DCO8AR, ODC8AR]
8gghtt	[8TGHTG, HTG8TG]
8acdmo	[DCO8AM, ODC8AM]
8ahosy	[HO8ASY, HO8ASy]
2aaegh	[AHAE2G, GHA2AE]
8acdko	[DCO8AK, ODC8AK]
8gghot	[GHTO8G, OHGT8G]
8gghoo	[OGHOG8, OHOG8G]
8cdgoz	[DZCO8G, ODZC8G]
ooprsz	[SOPZOR, SPZOOR]
8ahoor	[OHO8AR, OHORA8]
2ccort	[C2CTOR, T2CCOR]
8cgptz	[PZTC8G, TPZC8G]
8acdeo	[DCO8AE, ODC8AE]
cooprt	[OPTCOR, TCOPOR]
8ghort	[8GHTOR, OHTR8G]
accegt	[AETCCG, GTCCAE]
acoprt	[OPTACR, OPTCAR]
aeeoor	[AEOEOR, OEORAE]
8goops	[OPSO8G, POSO8G]
8aeeot	[8TOEAE, TOE8AE]
aioprr	[PORAIR, PROAIR]
4aceho	[4OCHAE, 4OHCAE]
8accmo	[CCO8AM, OCC8AM]
accdrt	[DTCCAR, TCCDAR]
degott	[DTOETG, TOEDTG]
8aeego	[AEOE8G, OEAE8G]
8ahnot	[HTO8AN, OHT8AN]
4dgooz	[4ODZOG, O4ODZG]
ghootz	[OTOHZG, TOHZOG]
8accgh	[8AHCCG, AHCC8G]
degopt	[POEDTG, PTOEDG]
accdlt	[TCCDAL, TCDCAL]
achort	[TCOHAR, TOHCAR]
8acceg	[AECC8G, G8CCAE]
8cgoss	[SCO8GS, SO8SCG]
ccgght	[GHTCCG, TGHCCG]
8accdg	[ADCC8G, DCCA8G]
8cgort	[ORTC8G, TC8GOR]
8cgopz	[OPZC8G, PZCO8G]
8cgops	[OPSC8G, PSCO8G]
accdeo	[DCCOAE, ODCCAE]
aadorr	[DARARO, ODARAR]
cegort	[ROETCG, TCGEOR]
8acort	[OTC8AR, TCO8AR]
4acdor	[4OCDAR, 4ODCAR]
4acdmo	[4OCDAM, 4ODCAM]
2aegho	[OHAE2G, OHAEG2]
cccors	[SCCCOR, SCOCCR]
4cdgos	[4ODCSG, 4ODSCG]
4cdgoo	[4ODCOG, 4ODOCG]
aceeot	[OETCAE, TCAEOE]
ehoosz	[HZOSOE, SOHZOE]
8cdeos	[DSCO8E, OEDSC8]
8ahmot	[HTO8AM, THO8AM]
8ahmos	[HSO8AM, OHS8AM]
8cdegt	[EDCT8G, EDTC8G]
8cdegs	[EDCS8G, EDSC8G]
8cdego	[EDCO8G, OEDC8G]
adeort	[TDAROE, TOEDAR]
8acnpt	[8TCPAN, PTC8AN]
aeemoo	[OEOEAM, OMOEAE]
8acnot	[TC8ANO, TCO8AN]
2cdgot	[2TODCG, ODTC2G]
aaehor	[OHAEAR, OHARAE]
2aiilo	[2OAIIL, O2AIIL]
cdgotz	[TCODZG, TODZCG]
8aeopt	[OPT8AE, PTO8AE]
cdgosz	[SCODZG, SODZCG]
cdgoss	[SODCSG, SODSCG]
cdgort	[DORTCG, GDTCOR]
cdgors	[GDSCOR, SGDCOR]
eghotz	[HZGTOE, OETHZG]
4cdeoo	[4OCDOE, 4ODCOE]
eghoor	[OHGEOR, ROEOHG]
4ahmoo	[4OHOAM, O4OHAM]
2giiir	[2IIIRG, IIIRG2]
dgghot	[GHTODG, OHTGDG]
cgopsz	[SCOPZG, SOPZCG]
cgopst	[SCOPTG, SOPTCG]
cgoprs	[GPSCOR, PORSCG]
4cdego	[4ODCGE, 4OEDCG]
8eghoz	[HZOE8G, OEHZ8G]
ccdgtz	[TCDZCG, TDZCCG]
ccdgss	[SCCDSG, SCDSCG]
cgghot	[GHCOTG, OHGTCG]
8cchot	[HC8TCO, OHTCC8]
8cchoo	[OHCC8O, OHCCO8]
ccdgor	[GDCCOR, GDOCCR]
8ehoot	[HTO8OE, OHOET8]
dgootz	[OTODZG, TODZOG]
ccgptz	[TCPZCG, TPZCCG]
cghotz	[TCOHZG, TOHZCG]
cghosz	[SCOHZG, SOHZCG]
cghort	[GHTCOR, HORTCG]
ccdggt	[GDCCTG, GDCTCG]
2cdeot	[2TCDOE, DOETC2]
8cdoot	[ODCTO8, ODTCO8]
2cdego	[2OEDCG, GDCOE2]
8degoz	[DZOE8G, OE8DZG]
8degoo	[ODOE8G, ODOEG8]
8ccgpt	[PTC8CG, PTCC8G]
88cggt	[8GTC8G, G8TC8G]
88aegs	[8AES8G, S8AE8G]
88aego	[8AEO8G, O8AE8G]
ccgort	[GTCCOR, ORTCCG]
8ccggh	[8GHCCG, GHCC8G]
4adgko	[4ODGAK, 4OGDAK]
8adeot	[ODT8AE, TDO8AE]
efoort	[OEFTOR, TOEFOR]
4cchoo	[4OHCCO, 4OHOCC]
8cehot	[HTC8OE, HTCO8E]
8cehoo	[OHC8OE, OHCO8E]
aoprsz	[SPZAOR, SPZOAR]
ccdeos	[DSCCOE, SCCDOE]
ccdeor	[EDCCOR, OEDCCR]
24cdoo	[24ODCO, 4ODCO2]
4cdoot	[4ODCTO, 4ODTCO]
ccdegs	[EDSCCG, SCCDEG]
24cdgo	[4ODC2G, 4ODCG2]
-88agm	[8AM-G8, 8G-8AM]
4degoo	[4ODGOE, 4ODOEG]
88egot	[8OET8G, 8TOE8G]
88egos	[8SOE8G, 8SOEG8]
acdetz	[TCDZAE, TDZCAE]
8dggot	[GDTO8G, ODTG8G]
8cegrt	[8ETCRG, TC8GRE]
8ceght	[EHTC8G, T8ECHG]
acdegs	[SCDAEG, SCGDAE]
aadikr	[DAIRAK, DARAIK]
8ccegs	[CESC8G, ESCC8G]
4adeno	[4ODEAN, 4OEDAN]
4ademo	[4ODEAM, 4OEDAM]
8cghtz	[TCHZ8G, THZC8G]
8cghss	[HS8SCG, SCHS8G]
2ccgot	[GTOCC2, TOCC2G]
iiilor	[IIILOR, ROIIIL]
8ccdtz	[TCDZC8, TDZCC8]
8cghoz	[HZCO8G, OHZC8G]
eeooor	[OEOEOR, OEOROE]
8ccdot	[TCDCO8, TODCC8]
8ccdos	[SCDCO8, SCODC8]
8ccdor	[8DCCOR, DCC8OR]
88cdgo	[8ODC8G, ODC8G8]
2aailr	[2AILAR, 2ARAIL]
88cdgg	[8GDC8G, DC8G8G]
aeegot	[TAEOEG, TOEAEG]
8achor	[HCO8AR, OHC8AR]
8achmo	[HCO8AM, OHC8AM]
8ccdgg	[GCDC8G, GDCC8G]
8ccdeg	[EDC8CG, EDCC8G]
aaeorr	[ARAEOR, ORAEAR]
aaeopr	[OPAEAR, POARAE]
cehoot	[TCOHOE, TOHCOE]
cehoos	[OHSCOE, SOHCOE]
8adoor	[ODO8AR, ODORA8]
48egos	[4OES8G, ES8G4O]
48egoo	[4OEO8G, 4OOE8G]
ceoors	[OESCOR, SCOEOR]
ccdoot	[ODTCCO, TODCCO]
ceoopt	[OCPTOE, OPTCOE]
eggops	[GPSOEG, POEGSG]
8cggot	[GTCO8G, O8GTCG]
ahnoor	[OHANOR, OHORAN]
aeghot	[GTOHAE, OHAETG]
8cgght	[GHTC8G, TC8GHG]
ddeggo	[DOEGDG, ODGEDG]
8acgpt	[APTC8G, PTCA8G]
aadgmr	[DARAMG, GDARAM]
88ccco	[8CCCO8, O8CCC8]
8acgmt	[AMTC8G, GTC8AM]
8cccgt	[8TCCCG, TC8CCG]
8cccgo	[O8CCCG, OCCC8G]
cdegoo	[ODCOEG, OEDCOG]
acchor	[HCCOAR, OHCCAR]
8aaeko	[8AEOAK, AEO8AK]
8cccde	[8DCCCE, EDCCC8]
aehoor	[OEOHAR, OHAEOR]
8egopt	[OEPT8G, POET8G]
48ghoz	[4O8HZG, 4OHZ8G]
acdors	[SCODAR, SOCDAR]
88amot	[8TO8AM, T8O8AM]
2cegot	[2OETCG, OE2TCG]
2cegos	[2OESCG, G2SCOE]
4cghot	[4OHCTG, 4OHTCG]
4cghos	[4OHCSG, 4OHSCG]
2cceot	[2TCCOE, OETCC2]
admott	[DTOTAM, TODTAM]
