rs	[RS, SR]
cccdgt	[CDTCCG, DCCTCG, TCCDCG, TCDCCG, TDCCCG]
cdgott	[ODTCTG, TCDTOG, TCODTG, TOCDTG, TODTCG]
8adegt	[8GDTAE, AEDT8G, DAET8G, DTAE8G, TGDAE8]
8adego	[8AEODG, EODA8G, ODAE8G, ODAEG8, OEDA8G]
8cghos	[GHSCO8, HSCO8G, OHSC8G, SHCO8G, SOHC8G]
ceghot	[GHTCOE, GTCOEH, HOETCG, OEHTCG, TOECHG]
8ccdgt	[8TCCDG, DCTC8G, DTCC8G, TCDC8G, TDCC8G]
8ccdgot	[ODCTC8G, TCDCO8G, TCODC8G, TDCCO8G, TODCC8G]
cccdgot	[ODCTCCG, ODTCCCG, TCODCCG, TOCDCCG, TODCCCG]
8aor	[8AOR, 8OAR, 8ORA, A8OR, ARO8, O8AR]
8got	[8GTO, 8OTG, O8TG, TO8G, OT8G, TO8G]
cgopt	[OPCTG, OPTCG, POTCG, PTCOG, TCOPG, TOCPG]
8cgot	[CTO8G, GTCO8, O8TCG, OTC8G, TCO8G, TO8CG]
8ceot	[8TCOE, ETC8O, ETCO8, OETC8, TC8OE, TCO8E]
cghot	[HOTCG, OHCTG, OHTCG, TCOHG, TOCHG, TOHCG]
8aegor	[8AEORG, 8AROEG, 8OEARG, ARO8EG, OEAR8G, ORAE8G]
8aeort	[8AETOR, OET8AR, T8AEOR, T8AROE, TO8AER, TOE8AR]
8ccgot	[8TCCOG, 8TCOCG, OCCT8G, OCTC8G, OTCC8G, TCCO8G]
8ccgho	[8OHCCG, GHCCO8, HCCO8G, HOCC8G, OHCC8G, OHCCG8]
cdgos	[DOSCG, GDSCO, OCDSG, ODCSG, ODSCG, SCODG, SODCG]
ccdgt	[CDTCG, DCCTG, DCTCG, DTCCG, TCCDG, TCDCG, TDCCG]
aehor	[EOHAR, HAEOR, HAROE, HOEAR, OEHAR, OHAER, OHRAE]
8cdgos	[DCSO8G, DO8SCG, DSCO8G, ODCS8G, ODSC8G, SCDO8G, SDCO8G]
ccdgot	[DTCOCG, ODCCTG, ODCTCG, ODTCCG, TCODCG, TOCDCG, TODCCG]
8cegot	[8OETCG, ECTO8G, EOTC8G, ETCO8G, OETC8G, TC8GEO, TCOE8G]
8cghot	[8TCOHG, HTCO8G, OHCT8G, OHTC8G, TCHO8G, THCO8G, TOHC8G]
8aeor	[8AEOR, 8AROE, 8OEAR, 8ORAE, ARO8E, EO8AR, OE8AR, ORAE8]
cdegot	[DOETCG, DTCOEG, GDTCOE, GTCOED, OEDCTG, OEDTCG, OETCDG, TCODGE]
cdgot	[DOTCG, GDCTO, GDTCO, ODCTG, ODTCG, OTCDG, TCODG, TOCDG, TODCG]
ccdgos	[ODCCSG, ODCSCG, ODSCCG, OSCCDG, SCCGDO, SCOCDG, SCODCG, SOCDCG, SODCCG]
8cdgot	[8ODCTG, 8TCODG, CDTO8G, DCTO8G, DTCO8G, GDCTO8, ODCT8G, ODTC8G, TCDO8G, TODC8G]
